reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
842,United States of America,616,Poland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32358,210565,318245,0,82290,1013025,938622,349271,380219
842,United States of America,710,South Africa,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17223,21575,142208,74274,126047,52544,0,359436,311650,589523
842,United States of America,579,Norway,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81026,796931,550273,104179,898535,889513,877969,193680,552364
842,United States of America,792,Türkiye,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,28701,0,0,0,0,0,165641,158632,79253
842,United States of America,858,Uruguay,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92125,352910,232230,408772,1203594,324545,116735,502745
842,United States of America,056,Belgium,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95024,67271,20455,92431,0,55173,4468
842,United States of America,757,Switzerland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,297126,230632,228051,67837,105288,99741,71531,320171,118181,0,51263,58601
842,United States of America,360,Indonesia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74936,234501,88510,188302,525199,50310,226393
842,United States of America,704,Viet Nam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243102,199578,101972,92500,79110,33347,58906
842,United States of America,188,Costa Rica,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,35084,0,0,0,0,0,0,0,0,0,0,0,0,211,0
842,United States of America,376,Israel,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",47,0,0,0,0,0,0,0,0,0,0,0,0,0,28783,0,0,295906,209882,197382,0,64684,54,0
842,United States of America,340,Honduras,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,12
