reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
842,United States of America,531,Curaçao,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1722848.000,Cubic meters,649877.000,Cubic meters,420343.000,Cubic meters,0,,0,,0,,0,,0,,70.000,Cubic meters,0,
842,United States of America,533,Aruba,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,41.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,136740.000,Cubic meters,0,,0,,5.000,Cubic meters,0,
842,United States of America,554,New Zealand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,116837.000,Cubic meters,0,,0,,0,,27.000,Cubic meters,0,
842,United States of America,584,Marshall Islands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,71801.000,Cubic meters,0,,0,,0,,0,,0,,0,,0,,0,,0,
842,United States of America,598,Papua New Guinea,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,13202.000,Cubic meters,0,,0,,0,,0,,0,,134355.000,Cubic meters,0,,0,,0,
842,United States of America,608,Philippines,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,44505.000,Cubic meters,0,,0,,0,,0,,0,,0,
842,United States of America,662,Saint Lucia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,570947.000,Cubic meters,0,,0,,0,,0,,0,
842,United States of America,682,Saudi Arabia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",144.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,31.000,Cubic meters,31.000,Cubic meters,0,
842,United States of America,768,Togo,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,158378.000,Cubic meters,0,,0,,0,,0,,0,,0,,0,,0,
842,United States of America,780,Trinidad and Tobago,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,90283.000,Cubic meters,0,,0,,0,,0,,0,,0,,0,,0,
842,United States of America,784,United Arab Emirates,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,246556.000,Cubic meters,1709154.000,Cubic meters,2227431.000,Cubic meters,1329156.000,Cubic meters,0,,0,,0,,15.000,Cubic meters,0,
842,United States of America,804,Ukraine,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,44.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,287600.000,Cubic meters,286645.000,Cubic meters,0,,0,,0,,0,,0,
