reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002,2002_unit,2003,2003_unit,2004,2004_unit,2005,2005_unit,2006,2006_unit,2007,2007_unit,2008,2008_unit,2009,2009_unit,2010,2010_unit,2011,2011_unit,2012,2012_unit,2013,2013_unit,2014,2014_unit,2015,2015_unit,2016,2016_unit,2017,2017_unit,2018,2018_unit,2019,2019_unit,2020,2020_unit,2021,2021_unit,2022,2022_unit,2023,2023_unit,2024,2024_unit,2025,2025_unit
251,France,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,11.000,Tons,0.000,Tons,37.000,Tons,10.000,Tons,2.000,Tons,61.000,Tons,81175.000,Tons,213.000,Tons,79.000,Tons,0,,0.000,Tons,0.000,Tons,64.000,Tons,397.000,Tons,388.000,Tons,14.000,Tons,200.000,Tons,24.000,Tons,123.000,Tons,0,,0,,1.000,Tons
251,France,729,Sudan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,760,Syrian Arab Republic,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,1.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,780,Trinidad and Tobago,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,784,United Arab Emirates,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,15.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons
251,France,788,Tunisia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0.000,Tons,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,792,Türkiye,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,8.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,804,Ukraine,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,818,Egypt,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,1.000,Tons,0,,0,,4.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,826,United Kingdom,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",80752.000,Tons,80360.000,Tons,0.000,Tons,20181.000,Tons,0,,1.000,Tons,0.000,Tons,0.000,Tons,0,,318689.000,Tons,115060.000,Tons,48611.000,Tons,0,,36652.000,Tons,0.000,Tons,94.000,Tons,51.000,Tons,66862.000,Tons,0,,68440.000,Tons,0.000,Tons,0.000,Tons,0.000,Tons,1.000,Tons
251,France,834,"Tanzania, United Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,854,Burkina Faso,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,
251,France,862,"Venezuela, Bolivarian Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,891,Serbia and Montenegro,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,9.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
251,France,899,Area Nes,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,49624.000,Tons,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
