reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2002 (USD Thousand),2003 (USD Thousand),2004 (USD Thousand),2005 (USD Thousand),2006 (USD Thousand),2007 (USD Thousand),2008 (USD Thousand),2009 (USD Thousand),2010 (USD Thousand),2011 (USD Thousand),2012 (USD Thousand),2013 (USD Thousand),2014 (USD Thousand),2015 (USD Thousand),2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand)
566,Nigeria,052,Barbados,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,34422,27285,2146388,169132,0,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,056,Belgium,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,3912194,0,1,153721,109887,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,060,Bermuda,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,383428,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,068,"Bolivia, Plurinational State of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,211421,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,072,Botswana,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,110,0,0,482914,0,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,084,Belize,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,22026,0,2687210,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Nigeria,096,Brunei Darussalam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145368,64962,0,0,0
566,Nigeria,100,Bulgaria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,0,14429,0,0,0,0,0,0,0,0,0,0
566,Nigeria,104,Myanmar,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42801,0,0,0,0
566,Nigeria,120,Cameroon,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",100164,293655,,,849346,510147,426651,489684,500263,404182,942735,1110199,1251677,330185,504331,319641,225516,347344,0,0,0,0,0
566,Nigeria,132,Cabo Verde,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,0,0,0,103890,0,0,0,0,0,0,0,0
566,Nigeria,152,Chile,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",141197,86065,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38153,0,0,0
566,Nigeria,204,Benin,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,598,36186,74822,72716,0,0,99766,0,0,0,0,0,0,0,0,0,0
566,Nigeria,208,Denmark,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,202883,837496,450795,402528,15549,46802,0,179417,135023,169231,0,0,0
566,Nigeria,212,Dominica,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,62547,0,0,0,0,0
566,Nigeria,214,Dominican Republic,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,,,0,0,0,0,0,0,0,0,0,0,0,114514,309985,56327,0,0,43525,0,0
